source,target,value
1.1,4.4,0.0
1.1,4.5,0.0
1.1,4.6,0.0
1.1,5.0,0.0
1.1,5.1,0.11881188118811879
1.1,5.2,0.0
1.1,5.3,0.0
1.1,5.4,0.0
1.1,5.5,0.0
1.1,5.6,0.0
1.1,5.7,0.0
1.1,5.8,0.0
1.1,5.9,0.0
1.1,6.0,0.0
1.1,6.1,0.0
1.1,6.2,0.0
1.1,6.3,0.0
1.1,6.4,0.0
1.1,6.5,0.1900990099009901
1.1,6.6,0.0
1.1,6.7,0.0
1.1,6.8,0.0
1.1,6.9,0.0
1.1,7.0,0.0
1.1,7.2,0.0
1.1,7.3,0.0
1.1,7.4,0.0
1.1,7.5,0.0
1.1,7.6,0.0
1.1,7.7,0.20594059405940596
1.1,8.1,0.0
1.1,8.11,0.07128712871287128
1.1,8.2,0.0
1.1,8.4,0.0
1.1,8.5,0.0
1.1,8.6,0.0
1.1,8.7,0.0
1.1,8.8,0.0
1.1,8.9,0.0
1.1,9.0,0.0
1.1,9.1,0.0
1.1,9.2,0.0
1.1,9.3,0.0
1.1,9.4,0.15841584158415845
1.1,9.5,0.0
1.1,9.6,0.0
1.1,9.7,0.0
1.1,9.8,0.0
1.1,9.9,0.0
1.1,10.0,0.1584158415841584
1.1,10.1,0.0
1.1,10.11,0.0
1.1,10.12,0.0
1.1,10.2,0.0
1.1,10.3,0.0
1.1,10.4,0.0
1.1,10.5,0.17425742574257425
1.1,10.6,0.0
1.1,10.7,0.0
1.1,10.8,0.0
1.1,10.9,0.0
1.2,1.3,0.0
1.2,1.4,0.007920792079207917
1.2,2.0,0.007920792079207917
1.2,2.1,0.07920792079207921
1.2,2.2,0.01980198019801981
1.2,2.3,0.03564356435643565
1.2,2.4,0.007920792079207917
1.2,2.5,0.12673267326732676
1.2,2.6,0.0
1.2,2.7,0.07920792079207921
1.2,2.8,0.2554455445544555
1.2,2.9,0.007920792079207917
1.2,3.0,0.0
1.2,3.1,0.027722772277227716
1.2,3.11,0.0
1.2,3.2,0.0
1.2,3.3,0.0
1.2,3.4,0.02376237623762376
1.2,3.5,0.0
1.2,3.6,0.00792079207920792
